Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,7
design__inferred_latch__count,0
design__instance__count,13039
design__instance__area,76570.9
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,391
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.01696585677564144
power__switching__total,0.021622292697429657
power__leakage__total,8.168260734464639E-8
power__total,0.038588233292102814
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.44022811642109827
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.44864127571734563
timing__hold__ws__corner:nom_tt_025C_1v80,0.3102715949764183
timing__setup__ws__corner:nom_tt_025C_1v80,6.523134661507978
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.310272
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,6.523135
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,87
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,391
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.5949256811135182
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.6085142562077289
timing__hold__ws__corner:nom_ss_100C_1v60,0.8700538313853174
timing__setup__ws__corner:nom_ss_100C_1v60,1.6307275991126653
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.870054
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,1.630728
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,391
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.37740453497252585
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.38340368076690656
timing__hold__ws__corner:nom_ff_n40C_1v95,0.10597290012133628
timing__setup__ws__corner:nom_ff_n40C_1v95,7.982676079433795
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.105973
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,8.525938
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,87
design__max_fanout_violation__count,391
design__max_cap_violation__count,1
clock__skew__worst_hold,-0.37478385344878024
clock__skew__worst_setup,0.3792782584241783
timing__hold__ws,0.10458328943326332
timing__setup__ws,1.4416210855339158
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.104583
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,1.441621
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 455.03 465.75
design__core__bbox,5.52 10.88 449.42 454.24
design__io,70
design__die__area,211930
design__core__area,196808
design__instance__count__stdcell,13039
design__instance__area__stdcell,76570.9
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.389065
design__instance__utilization__stdcell,0.389065
design__instance__count__class:buffer,391
design__instance__count__class:inverter,132
design__instance__count__class:sequential_cell,601
design__instance__count__class:multi_input_combinational_cell,4319
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,14161
design__instance__count__class:tap_cell,2805
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
floorplan__design__io,68
design__io__hpwl,7671748
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,179254
design__violations,0
design__instance__count__class:timing_repair_buffer,678
design__instance__count__class:clock_buffer,134
design__instance__count__class:clock_inverter,61
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
antenna__violating__nets,1
antenna__violating__pins,1
route__antenna_violation__count,1
design__instance__count__class:antenna_cell,3918
antenna_diodes_count,6
route__net,6260
route__net__special,2
route__drc_errors__iter:1,2768
route__wirelength__iter:1,215330
route__drc_errors__iter:2,1196
route__wirelength__iter:2,213721
route__drc_errors__iter:3,1001
route__wirelength__iter:3,213331
route__drc_errors__iter:4,40
route__wirelength__iter:4,213095
route__drc_errors__iter:5,0
route__wirelength__iter:5,213072
route__drc_errors,0
route__wirelength,213072
route__vias,53445
route__vias__singlecut,53445
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,805.12
timing__unannotated_net__count__corner:nom_tt_025C_1v80,91
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,91
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,91
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,391
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.4362527407243917
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.4425937797088751
timing__hold__ws__corner:min_tt_025C_1v80,0.3083072773233943
timing__setup__ws__corner:min_tt_025C_1v80,6.641283710951651
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
